AUT5  , Kevin Danso                 , Austria            , Grupo J, Comum
SEN17 , Boulaye Dia                 , Senegal            , Grupo I, Comum
SWE17 , Dejan Kulusevski            , Suecia             , Grupo F, Comum
JPN14 , Ritsu Doan                  , Japao              , Grupo F, Comum
TUN5  , Montassar Talbi             , Tunisia            , Grupo F, Comum
KSA17 , Abdulrahman Al-Aboud        , Arabia Saudita     , Grupo H, Comum
BRA19 , Raphinha                    , Brasil             , Grupo C, Comum
